CIK,COMPANY_NAME,FILING_DATE,ACCESSION_NUMBER,SIC_CODE,SIC_DESCRIPTION,SECTOR,SHARES_OFFERED,FINAL_PRICE,GROSS_PROCEEDS,EXTRACTION_METHOD,TRAILING_REVENUE,SHARES_OUTSTANDING,IMPLIED_MARKET_CAP,PRICE_TO_SALES_RATIO,FILING_QUARTER,FILING_YEAR,SECTOR_AVG_PS,SECTOR_MEDIAN_PS,VALUATION_FLAG
1538379,"Ibotta, Inc.",2024-04-18,0001628280-24-016660,7310,Services-Advertising,Other,6560700,88.00000000,577341600.00000000,regex,342389000,0,0.00000000,0,2024-04-01,2024-01-01,59.649200047,1.389977905,Cheaply valued
1901440,UL Solutions Inc.,2024-04-15,0001628280-24-016209,8734,Services-Testing Laboratories,Other,33800000,28.00000000,946400000.00000000,regex,3053000000,201025964,5628726992.00000000,1.843670813,2024-04-01,2024-01-01,59.649200047,1.389977905,In line with sector
2001184,"PACS Group, Inc.",2024-04-12,0001628280-24-016052,8051,Services-Skilled Nursing Care Facilities,Other,21428572,21.00000000,450000012.00000000,regex,5288932000,156615144,3288918024.00000000,0.6218491794,2024-04-01,2024-01-01,59.649200047,1.389977905,Cheaply valued
1952853,Massimo Group,2024-04-03,0001493152-24-012986,3790,Miscellaneous Transportation Equipment,Other,1300000,4.50000000,5850000.00000000,regex,1900000,41640950,187384275.00000000,98.623302632,2024-04-01,2024-01-01,59.649200047,1.389977905,Richly valued
1782303,"Boundless Bio, Inc.",2024-03-28,0001193125-24-080798,2834,Pharmaceutical Preparations,Pharmaceuticals,6250000,16.00000000,100000000.00000000,regex,,,100000000.00000000,,2024-01-01,2024-01-01,81.152935495,22.384372075,No revenue data
1981519,ALTA GLOBAL GROUP LTD,2024-03-28,0001493152-24-011809,7380,Services-Miscellaneous Business Services,Other,1300000,5.00000000,6500000.00000000,regex,,,6500000.00000000,,2024-01-01,2024-01-01,59.649200047,1.389977905,No revenue data
1932072,LOBO EV TECHNOLOGIES LTD,2024-03-22,0001493152-24-010850,3751,"Motorcycles, Bicycles & Parts",Other,1380000,4.00000000,5520000.00000000,regex,,,5520000.00000000,,2024-01-01,2024-01-01,59.649200047,1.389977905,No revenue data
1736297,"Astera Labs, Inc.",2024-03-21,0001193125-24-073873,3674,Semiconductors & Related Devices,Semiconductors,16788903,36.00000000,604400508.00000000,regex,852525000,171277000,6165972000.00000000,7.232599631,2024-01-01,2024-01-01,7.232599631,7.232599631,In line with sector
1519472,"SolarMax Technology, Inc.",2024-02-28,0001640334-24-000310,1700,Construction - Special Trade Contractors,Other,4500000,4.00000000,18000000.00000000,regex,90982535,54906572,219626288.00000000,2.413938983,2024-01-01,2024-01-01,59.649200047,1.389977905,Richly valued
1682149,"WISA TECHNOLOGIES, INC.",2024-02-13,0001104659-24-017183,7389,"Services-Business Services, NEC",Other,153840000,55.00000000,8461200000.00000000,regex,39089000,573438153,31539098415.00000000,806.853549976,2024-01-01,2024-01-01,59.649200047,1.389977905,Richly valued
1785279,"Metagenomi, Inc.",2024-02-12,0001193125-24-031007,2836,"Biological Products, (No Diagnostic Substances)",Pharmaceuticals,6250000,15.00000000,93750000.00000000,regex,25210000,37620668,564310020.00000000,22.384372075,2024-01-01,2024-01-01,81.152935495,22.384372075,In line with sector
